       Cycle  Month  Quarter  Failure_Percentage  Num_Previous_Execution  Verdict       LastRan  LastResults  gap_cats
0          1      1        1            0.000000                0.000000        0  1.452595e+09            0         0
1          3      1        1            0.000000                0.693147        0  1.452704e+09            0         1
2          4      1        1            0.000000                1.098612        0  1.452793e+09            0         1
3          4      1        1            0.000000                1.386294        0  1.452812e+09            0         0
4          5      1        1            0.000000                1.609438        0  1.452899e+09            0         1
5          6      1        1            0.000000                1.791759        0  1.452985e+09            0         1
6          7      1        1            0.000000                1.945910        0  1.453072e+09            0         1
7          8      1        1            0.000000                2.079442        0  1.453158e+09            0         1
8          9      1        1            0.000000                2.197225        0  1.453244e+09            0         1
9         10      1        1            0.000000                2.302585        0  1.453331e+09            0         1
10        11      1        1            0.000000                2.397895        0  1.453404e+09            0         0
11        11      1        1            0.000000                2.484907        0  1.453417e+09            0         0
12        12      1        1            0.000000                2.564949        1  1.453483e+09            0         0
13        12      1        1            0.071429                2.639057        0  1.453491e+09            1         0
14        12      1        1            0.066667                2.708050        0  1.453504e+09            0         0
15        13      1        1            0.062500                2.772589        0  1.453590e+09            0         1
16        14      1        1            0.058824                2.833213        0  1.453676e+09            0         1
17        15      1        1            0.055556                2.890372        0  1.453763e+09            0         1
18        16      1        1            0.052632                2.944439        0  1.453849e+09            0         1
19        17      1        1            0.050000                2.995732        0  1.453936e+09            0         0
20        18      1        1            0.047619                3.044522        0  1.454022e+09            0         1
21        19      1        1            0.045455                3.091042        0  1.454108e+09            0         0
22        20      1        1            0.043478                3.135494        0  1.454195e+09            0         1
23        21      1        1            0.041667                3.178054        0  1.454281e+09            0         1
24        22      2        1            0.040000                3.218876        0  1.454368e+09            0         1
25        23      2        1            0.038462                3.258097        0  1.454454e+09            0         1
26        24      2        1            0.037037                3.295837        0  1.454540e+09            0         1
27        25      2        1            0.035714                3.332205        0  1.454627e+09            0         1
28        26      2        1            0.034483                3.367296        0  1.454713e+09            0         0
29        27      2        1            0.033333                3.401197        0  1.454800e+09            0         1
30        28      2        1            0.032258                3.433987        0  1.454886e+09            0         1
31        29      2        1            0.031250                3.465736        0  1.454972e+09            0         0
32        30      2        1            0.030303                3.496508        0  1.455059e+09            0         1
33        31      2        1            0.029412                3.526361        0  1.455145e+09            0         1
34        32      2        1            0.028571                3.555348        0  1.455173e+09            0         0
35        32      2        1            0.027778                3.583519        0  1.455196e+09            0         0
36        32      2        1            0.027027                3.610918        0  1.455232e+09            0         0
37        33      2        1            0.026316                3.637586        0  1.455265e+09            0         0
38        33      2        1            0.025641                3.663562        0  1.455318e+09            0         0
39        34      2        1            0.025000                3.688879        0  1.455404e+09            0         1
40        35      2        1            0.024390                3.713572        0  1.455491e+09            0         1
41        37      2        1            0.023810                3.737670        0  1.455613e+09            0         1
42        38      2        1            0.023256                3.761200        0  1.455664e+09            0         0
43        39      2        1            0.022727                3.784190        0  1.455750e+09            0         1
44        40      2        1            0.022222                3.806662        0  1.455836e+09            0         1
45        41      2        1            0.021739                3.828641        1  1.455851e+09            0         0
46        41      2        1            0.042553                3.850148        0  1.455868e+09            1         0
47        41      2        1            0.041667                3.871201        0  1.455895e+09            0         0
48        41      2        1            0.040816                3.891820        0  1.455923e+09            0         0
49        42      2        1            0.040000                3.912023        0  1.456013e+09            0         1
50        44      2        1            0.039216                3.931826        0  1.456182e+09            0         1
51        45      2        1            0.038462                3.951244        0  1.456268e+09            0         1
52        46      2        1            0.037736                3.970292        0  1.456355e+09            0         1
53        47      2        1            0.037037                3.988984        0  1.456441e+09            0         1
54        48      2        1            0.036364                4.007333        0  1.456528e+09            0         1
55        49      2        1            0.035714                4.025352        0  1.456614e+09            0         0
56        50      2        1            0.035088                4.043051        0  1.456691e+09            0         0
57        51      2        1            0.034483                4.060443        0  1.456778e+09            0         1
58        52      3        1            0.033898                4.077537        0  1.456864e+09            0         1
59        53      3        1            0.033333                4.094345        0  1.456951e+09            0         0
60        54      3        1            0.032787                4.110874        0  1.457037e+09            0         1
61        55      3        1            0.032258                4.127134        0  1.457123e+09            0         1
62        56      3        1            0.031746                4.143135        0  1.457210e+09            0         1
63        57      3        1            0.031250                4.158883        0  1.457296e+09            0         1
64        58      3        1            0.030769                4.174387        0  1.457383e+09            0         0
65        59      3        1            0.030303                4.189655        0  1.457469e+09            0         1
66        60      3        1            0.029851                4.204693        0  1.457547e+09            0         0
67        61      3        1            0.029412                4.219508        0  1.457633e+09            0         0
68        62      3        1            0.028986                4.234107        0  1.457719e+09            0         1
69        63      3        1            0.028571                4.248495        0  1.457806e+09            0         1
70        64      3        1            0.028169                4.262680        0  1.457892e+09            0         1
71        65      3        1            0.027778                4.276666        0  1.457978e+09            0         0
72        65      3        1            0.027397                4.290459        1  1.457985e+09            0         0
73        66      3        1            0.040541                4.304065        0  1.458065e+09            1         0
74        67      3        1            0.040000                4.317488        0  1.458151e+09            0         1
75        68      3        1            0.039474                4.330733        0  1.458238e+09            0         1
76        69      3        1            0.038961                4.343805        0  1.458324e+09            0         1
77        70      3        1            0.038462                4.356709        0  1.458410e+09            0         1
78        71      3        1            0.037975                4.369448        0  1.458497e+09            0         1
79        72      3        1            0.037500                4.382027        0  1.458583e+09            0         1
80        73      3        1            0.037037                4.394449        0  1.458670e+09            0         1
81        74      3        1            0.036585                4.406719        0  1.458756e+09            0         1
82        75      3        1            0.036145                4.418841        0  1.458842e+09            0         1
83        76      3        1            0.035714                4.430817        0  1.458929e+09            0         1
84        77      3        1            0.035294                4.442651        0  1.459015e+09            0         1
85        78      3        1            0.034884                4.454347        0  1.459098e+09            0         1
